ID;Plot;Plant_sp;Plant_id;Branch_inflorescence_id;Flowers_produced;Fruits_produced;;
1;A;UPAR;1;1;NA;NA;;
1;A;UPAR;1;2;NA;NA;;
1;A;UPAR;1;3;NA;NA;;
1;A;UPAR;1;4;NA;NA;;
1;A;UPAR;1;5;NA;NA;;
2;A;UPAR;2;1;NA;NA;;
2;A;UPAR;2;2;NA;NA;;
2;A;UPAR;2;3;NA;NA;;
2;A;UPAR;2;4;NA;NA;;
2;A;UPAR;2;5;NA;NA;;
3;A;UPAR;3;1;NA;NA;;
3;A;UPAR;3;2;NA;NA;;
3;A;UPAR;3;3;NA;NA;;
3;A;UPAR;3;4;NA;NA;;
3;A;UPAR;3;5;NA;NA;;
4;A;UPAR;4;1;NA;NA;;
4;A;UPAR;4;2;NA;NA;;
4;A;UPAR;4;3;NA;NA;;
4;A;UPAR;4;4;NA;NA;;
4;A;UPAR;4;5;NA;NA;;
5;A;UPAR;5;1;NA;NA;;
5;A;UPAR;5;2;NA;NA;;
5;A;UPAR;5;3;NA;NA;;
5;A;UPAR;5;4;NA;NA;;
5;A;UPAR;5;5;NA;NA;;
6;A;UPAR;6;1;NA;NA;;
6;A;UPAR;6;2;NA;NA;;
6;A;UPAR;6;3;NA;NA;;
6;A;UPAR;6;4;NA;NA;;
6;A;UPAR;6;5;NA;NA;;
7;A;UPAR;7;1;NA;NA;;
7;A;UPAR;7;2;NA;NA;;
7;A;UPAR;7;3;NA;NA;;
7;A;UPAR;7;4;NA;NA;;
7;A;UPAR;7;5;NA;NA;;
8;A;UPAR;8;1;NA;NA;;
8;A;UPAR;8;2;NA;NA;;
8;A;UPAR;8;3;NA;NA;;
8;A;UPAR;8;4;NA;NA;;
8;A;UPAR;8;5;NA;NA;;
9;A;UPAR;9;1;NA;NA;;
9;A;UPAR;9;2;NA;NA;;
9;A;UPAR;9;3;NA;NA;;
9;A;UPAR;9;4;NA;NA;;
9;A;UPAR;9;5;NA;NA;;
10;A;UPAR;10;1;NA;NA;;
10;A;UPAR;10;2;NA;NA;;
10;A;UPAR;10;3;NA;NA;;
10;A;UPAR;10;4;NA;NA;;
10;A;UPAR;10;5;NA;NA;;
11;A;UPAR;11;1;NA;NA;;
11;A;UPAR;11;2;NA;NA;;
11;A;UPAR;11;3;NA;NA;;
11;A;UPAR;11;4;NA;NA;;
11;A;UPAR;11;5;NA;NA;;
12;A;UPAR;12;1;NA;NA;;
12;A;UPAR;12;2;NA;NA;;
12;A;UPAR;12;3;NA;NA;;
12;A;UPAR;12;4;NA;NA;;
12;A;UPAR;12;5;NA;NA;;
13;A;UPAR;13;1;NA;NA;;
13;A;UPAR;13;2;NA;NA;;
13;A;UPAR;13;3;NA;NA;;
13;A;UPAR;13;4;NA;NA;;
13;A;UPAR;13;5;NA;NA;;
14;A;UPAR;14;1;NA;NA;;
14;A;UPAR;14;2;NA;NA;;
14;A;UPAR;14;3;NA;NA;;
14;A;UPAR;14;4;NA;NA;;
14;A;UPAR;14;5;NA;NA;;
15;A;UPAR;15;1;NA;NA;;
15;A;UPAR;15;2;NA;NA;;
15;A;UPAR;15;3;NA;NA;;
15;A;UPAR;15;4;NA;NA;;
15;A;UPAR;15;5;NA;NA;;
16;A;HCOM;106;1;27;17;;
16;A;HCOM;106;2;18;8;;
16;A;HCOM;106;3;21;8;;
16;A;HCOM;106;4;23;10;;
16;A;HCOM;106;5;18;9;;
17;A;HCOM;107;1;15;5;;
17;A;HCOM;107;2;12;3;;
17;A;HCOM;107;3;16;4;;
17;A;HCOM;107;4;14;5;;
17;A;HCOM;107;5;12;5;;
18;A;HCOM;108;1;11;1;;
18;A;HCOM;108;2;14;2;;
18;A;HCOM;108;3;15;4;;
18;A;HCOM;108;4;6;1;;
18;A;HCOM;108;5;8;3;;
19;A;HCOM;109;1;10;2;;
19;A;HCOM;109;2;7;3;;
19;A;HCOM;109;3;28;9;;
19;A;HCOM;109;4;11;2;;
19;A;HCOM;109;5;6;2;;
20;A;HCOM;110;1;18;9;;
20;A;HCOM;110;2;19;5;;
20;A;HCOM;110;3;24;5;;
20;A;HCOM;110;4;18;5;;
20;A;HCOM;110;5;13;5;;
21;A;HCOM;111;1;13;4;;
21;A;HCOM;111;2;12;8;;
21;A;HCOM;111;3;8;2;;
21;A;HCOM;111;4;6;2;;
21;A;HCOM;111;5;15;5;;
22;A;HCOM;112;1;7;3;;
22;A;HCOM;112;2;16;1;;
22;A;HCOM;112;3;19;4;;
22;A;HCOM;112;4;7;1;;
22;A;HCOM;112;5;13;1;;
23;A;HCOM;113;1;14;4;;
23;A;HCOM;113;2;15;9;;
23;A;HCOM;113;3;17;4;;
23;A;HCOM;113;4;15;3;;
23;A;HCOM;113;5;16;7;;
24;A;HCOM;114;1;16;7;;
24;A;HCOM;114;2;21;9;;
24;A;HCOM;114;3;15;7;;
24;A;HCOM;114;4;14;9;;
24;A;HCOM;114;5;18;10;;
25;A;HCOM;115;1;21;5;;
25;A;HCOM;115;2;24;10;;
25;A;HCOM;115;3;23;2;;
25;A;HCOM;115;4;24;8;;
25;A;HCOM;115;5;15;5;;
26;A;HCOM;116;1;21;2;;
26;A;HCOM;116;2;12;1;;
26;A;HCOM;116;3;18;9;;
26;A;HCOM;116;4;10;2;;
26;A;HCOM;116;5;13;1;;
27;A;HCOM;117;1;26;10;;
27;A;HCOM;117;2;25;13;;
27;A;HCOM;117;3;24;7;;
27;A;HCOM;117;4;11;5;;
27;A;HCOM;117;5;12;3;;
28;A;HCOM;118;1;29;8;;
28;A;HCOM;118;2;10;3;;
28;A;HCOM;118;3;11;4;;
28;A;HCOM;118;4;12;6;;
28;A;HCOM;118;5;19;9;;
29;A;HCOM;119;1;20;9;;
29;A;HCOM;119;2;24;6;;
29;A;HCOM;119;3;20;6;;
29;A;HCOM;119;4;19;7;;
29;A;HCOM;119;5;17;5;;
30;A;HCOM;120;1;13;7;;
30;A;HCOM;120;2;22;7;;
30;A;HCOM;120;3;28;18;;
30;A;HCOM;120;4;13;4;;
30;A;HCOM;120;5;17;9;;
31;A;ROFF;236;1;13;6;;
31;A;ROFF;236;2;18;11;;
31;A;ROFF;236;3;8;0;;
31;A;ROFF;236;4;16;0;;
31;A;ROFF;236;5;12;8;;
32;A;ROFF;237;1;10;7;;
32;A;ROFF;237;2;16;11;;
32;A;ROFF;237;3;16;12;;
32;A;ROFF;237;4;17;11;;
32;A;ROFF;237;5;18;11;;
33;A;ROFF;238;1;16;13;;
33;A;ROFF;238;2;7;4;;
33;A;ROFF;238;3;14;4;;
33;A;ROFF;238;4;10;7;;
33;A;ROFF;238;5;10;5;;
34;A;ROFF;239;1;14;7;;
34;A;ROFF;239;2;14;12;;
34;A;ROFF;239;3;14;13;;
34;A;ROFF;239;4;12;10;;
34;A;ROFF;239;5;10;9;;
35;A;ROFF;240;1;14;8;;
35;A;ROFF;240;2;16;14;;
35;A;ROFF;240;3;14;11;;
35;A;ROFF;240;4;14;13;;
35;A;ROFF;240;5;0;0;;
36;A;SGEN;241;1;97;16;;
36;A;SGEN;241;2;38;17;;
36;A;SGEN;241;3;71;17;;
36;A;SGEN;241;4;34;12;;
36;A;SGEN;241;5;73;20;;
37;A;SGEN;242;1;18;10;;
37;A;SGEN;242;2;23;13;;
37;A;SGEN;242;3;20;14;;
37;A;SGEN;242;4;25;16;;
37;A;SGEN;242;5;22;10;;
38;A;SGEN;243;1;39;18;;
38;A;SGEN;243;2;89;17;;
38;A;SGEN;243;3;30;12;;
38;A;SGEN;243;4;20;8;;
38;A;SGEN;243;5;23;12;;
39;A;SGEN;244;1;28;9;;
39;A;SGEN;244;2;15;10;;
39;A;SGEN;244;3;23;11;;
39;A;SGEN;244;4;17;12;;
39;A;SGEN;244;5;23;8;;
40;A;SGEN;245;1;45;14;;
40;A;SGEN;245;2;33;9;;
40;A;SGEN;245;3;48;24;;
40;A;SGEN;245;4;39;26;;
40;A;SGEN;245;5;57;24;;
41;A;SGEN;246;1;80;8;;
41;A;SGEN;246;2;29;2;;
41;A;SGEN;246;3;34;7;;
41;A;SGEN;246;4;31;2;;
41;A;SGEN;246;5;16;2;;
42;A;SGEN;247;1;28;11;;
42;A;SGEN;247;2;58;32;;
42;A;SGEN;247;3;34;18;;
42;A;SGEN;247;4;65;22;;
42;A;SGEN;247;5;42;10;;
43;A;SGEN;248;1;34;19;;
43;A;SGEN;248;2;23;12;;
43;A;SGEN;248;3;64;28;;
43;A;SGEN;248;4;46;25;;
43;A;SGEN;248;5;13;6;;
44;A;SGEN;249;1;39;20;;
44;A;SGEN;249;2;26;15;;
44;A;SGEN;249;3;42;19;;
44;A;SGEN;249;4;35;22;;
44;A;SGEN;249;5;23;11;;
45;A;SGEN;250;1;58;24;;
45;A;SGEN;250;2;39;15;;
45;A;SGEN;250;3;33;18;;
45;A;SGEN;250;4;45;20;;
45;A;SGEN;250;5;21;8;;
46;A;SGEN;Y;1;27;12;;
46;A;SGEN;Y;2;17;8;;
46;A;SGEN;Y;3;10;3;;
46;A;SGEN;Y;4;27;6;;
46;A;SGEN;Y;5;18;6;;
47;A;LPED;261;1;34;9;;
47;A;LPED;261;2;49;9;Comido, tubos, larva recogida;
47;A;LPED;261;3;35;9;;
47;A;LPED;261;4;50;6;;
47;A;LPED;261;5;34;9;;
48;A;LPED;262;1;30;12;;
48;A;LPED;262;2;47;9;;
48;A;LPED;262;3;43;17;;
48;A;LPED;262;4;46;12;;
48;A;LPED;262;5;70;17;;
49;A;LPED;263;1;42;15;;
49;A;LPED;263;2;45;11;;
49;A;LPED;263;3;34;7;Comido, tubos;
49;A;LPED;263;4;49;12;;
49;A;LPED;263;5;31;12;;
50;A;LPED;264;1;72;17;;
50;A;LPED;264;2;76;14;;
50;A;LPED;264;3;37;10;;
50;A;LPED;264;4;62;12;comido;
50;A;LPED;264;5;37;17;;
51;A;LPED;265;1;34;8;;
51;A;LPED;265;2;94;29;;
51;A;LPED;265;3;11;0;;
51;A;LPED;265;4;12;1;;
51;A;LPED;265;5;61;17;;
52;A;LPED;266;1;50;14;;
52;A;LPED;266;2;35;3;;
52;A;LPED;266;3;46;10;;
52;A;LPED;266;4;55;12;;
52;A;LPED;266;5;41;13;;
53;A;LPED;267;1;46;15;;
53;A;LPED;267;2;52;15;;
53;A;LPED;267;3;70;27;;
53;A;LPED;267;4;71;25;;
53;A;LPED;267;5;52;23;;
54;A;LPED;268;1;21;10;;
54;A;LPED;268;2;33;9;;
54;A;LPED;268;3;44;22;;
54;A;LPED;268;4;42;10;;
54;A;LPED;268;5;67;17;;
55;A;LPED;269;1;30;4;;
55;A;LPED;269;2;59;6;;
55;A;LPED;269;3;42;10;;
55;A;LPED;269;4;53;4;;
55;A;LPED;269;5;46;15;;
56;A;LPED;270;1;47;20;;
56;A;LPED;270;2;39;16;;
56;A;LPED;270;3;25;10;;
56;A;LPED;270;4;21;7;;
56;A;LPED;270;5;31;13;;
57;A;LPED;271;1;22;3;;
57;A;LPED;271;2;13;1;;
57;A;LPED;271;3;50;20;;
57;A;LPED;271;4;42;18;;
57;A;LPED;271;5;55;26;;
58;A;LPED;272;1;42;19;;
58;A;LPED;272;2;14;1;;
58;A;LPED;272;3;32;7;;
58;A;LPED;272;4;27;8;;
58;A;LPED;272;5;46;18;;
59;A;LPED;273;1;61;18;;
59;A;LPED;273;2;39;14;;
59;A;LPED;273;3;24;11;;
59;A;LPED;273;4;28;13;;
59;A;LPED;273;5;37;13;;
60;A;LPED;274;1;42;23;;
60;A;LPED;274;2;63;21;;
60;A;LPED;274;3;42;11;;
60;A;LPED;274;4;36;17;;
60;A;LPED;274;5;47;18;;
61;A;LPED;275;1;47;24;;
61;A;LPED;275;2;46;19;;
61;A;LPED;275;3;68;28;;
61;A;LPED;275;4;45;10;;
61;A;LPED;275;5;66;36;;
62;A;CLIB;366;1;10;6;;
62;A;CLIB;366;2;9;5;;
62;A;CLIB;366;3;5;3;;
62;A;CLIB;366;4;13;10;;
62;A;CLIB;366;5;5;3;;
63;A;CLIB;367;1;10;7;;
63;A;CLIB;367;2;4;4;;
63;A;CLIB;367;3;5;3;;
63;A;CLIB;367;4;5;4;;
63;A;CLIB;367;5;5;4;;
64;A;CLIB;368;1;8;8;;
64;A;CLIB;368;2;11;9;;
64;A;CLIB;368;3;5;4;;
64;A;CLIB;368;4;12;12;;
64;A;CLIB;368;5;4;3;;
65;A;CLIB;369;1;9;6;;
65;A;CLIB;369;2;6;6;;
65;A;CLIB;369;3;21;12;;
65;A;CLIB;369;4;7;4;;
65;A;CLIB;369;5;6;6;;
66;A;CLIB;370;1;6;5;;
66;A;CLIB;370;2;4;4;;
66;A;CLIB;370;3;13;8;;
66;A;CLIB;370;4;4;3;;
66;A;CLIB;370;5;3;2;;
67;A;CLIB;371;1;7;6;;
67;A;CLIB;371;2;8;8;;
67;A;CLIB;371;3;7;6;;
67;A;CLIB;371;4;2;4;;
67;A;CLIB;371;5;5;5;;
68;A;CLIB;372;1;5;5;;
68;A;CLIB;372;2;5;3;;
68;A;CLIB;372;3;5;5;;
68;A;CLIB;372;4;5;5;;
68;A;CLIB;372;5;4;4;;
69;A;CLIB;373;1;12;10;;
69;A;CLIB;373;2;7;6;;
69;A;CLIB;373;3;8;5;;
69;A;CLIB;373;4;6;6;;
69;A;CLIB;373;5;7;7;;
70;A;CLIB;374;1;5;4;;
70;A;CLIB;374;2;6;6;;
70;A;CLIB;374;3;6;5;;
70;A;CLIB;374;4;9;5;;
70;A;CLIB;374;5;16;11;;
71;A;CLIB;375;1;9;7;;
71;A;CLIB;375;2;10;8;;
71;A;CLIB;375;3;11;9;;
71;A;CLIB;375;4;8;7;;
71;A;CLIB;375;5;5;5;;
72;A;CLIB;376;1;6;4;;
72;A;CLIB;376;2;4;3;;
72;A;CLIB;376;3;3;2;;
72;A;CLIB;376;4;3;3;;
72;A;CLIB;376;5;6;5;;
73;A;CLIB;377;1;6;5;;
73;A;CLIB;377;2;4;4;;
73;A;CLIB;377;3;3;3;;
73;A;CLIB;377;4;8;7;;
73;A;CLIB;377;5;5;5;;
74;A;CLIB;378;1;6;3;;
74;A;CLIB;378;2;9;4;;
74;A;CLIB;378;3;4;8;;
74;A;CLIB;378;4;5;4;;
74;A;CLIB;378;5;4;5;;
75;A;CLIB;379;1;4;3;;
75;A;CLIB;379;2;4;2;;
75;A;CLIB;379;3;3;3;;
75;A;CLIB;379;4;5;3;;
75;A;CLIB;379;5;3;3;;
76;A;CLIB;380;1;6;5;;
76;A;CLIB;380;2;7;5;;
76;A;CLIB;380;3;23;2;;
76;A;CLIB;380;4;4;3;;
76;A;CLIB;380;5;4;2;;
77;A;HHAL;471;1;39;15;;
77;A;HHAL;471;2;52;26;;
77;A;HHAL;471;3;29;18;;
77;A;HHAL;471;4;37;20;;
77;A;HHAL;471;5;25;19;;
78;A;HHAL;472;1;38;28;;
78;A;HHAL;472;2;55;40;;
78;A;HHAL;472;3;50;28;;
78;A;HHAL;472;4;34;24;;
78;A;HHAL;472;5;36;15;;
79;A;HHAL;473;1;43;26;;
79;A;HHAL;473;2;22;9;;
79;A;HHAL;473;3;26;7;;
79;A;HHAL;473;4;16;5;;
79;A;HHAL;473;5;21;12;;
80;A;HHAL;474;1;18;7;;
80;A;HHAL;474;2;9;5;;
80;A;HHAL;474;3;0;0;;
80;A;HHAL;474;4;0;0;;
80;A;HHAL;474;5;0;0;;
81;A;HHAL;475;1;20;16;;
81;A;HHAL;475;2;8;6;;
81;A;HHAL;475;3;27;23;;
81;A;HHAL;475;4;10;9;;
81;A;HHAL;475;5;8;5;;
82;A;HHAL;476;1;19;10;;
82;A;HHAL;476;2;61;25;;
82;A;HHAL;476;3;0;0;;
82;A;HHAL;476;4;0;0;;
82;A;HHAL;476;5;0;0;;
83;A;HHAL;477;1;35;2;;
83;A;HHAL;477;2;27;1;;
83;A;HHAL;477;3;16;3;;
83;A;HHAL;477;4;31;3;;
83;A;HHAL;477;5;20;2;;
84;A;HHAL;478;1;31;28;;
84;A;HHAL;478;2;0;0;;
84;A;HHAL;478;3;0;0;;
84;A;HHAL;478;4;0;0;;
84;A;HHAL;478;5;0;0;;
85;A;HHAL;479;1;25;11;;
85;A;HHAL;479;2;39;21;;
85;A;HHAL;479;3;26;7;;
85;A;HHAL;479;4;11;7;;
85;A;HHAL;479;5;24;8;;
86;A;HHAL;480;1;24;9;;
86;A;HHAL;480;2;35;18;;
86;A;HHAL;480;3;14;6;;
86;A;HHAL;480;4;11;4;;
86;A;HHAL;480;5;6;3;;
87;A;HHAL;481;1;4;1;;
87;A;HHAL;481;2;3;1;;
87;A;HHAL;481;3;4;2;;
87;A;HHAL;481;4;0;0;;
87;A;HHAL;481;5;0;0;;
88;A;HHAL;482;1;28;14;;
88;A;HHAL;482;2;18;14;;
88;A;HHAL;482;3;29;20;;
88;A;HHAL;482;4;12;9;;
88;A;HHAL;482;5;38;26;;
89;A;HHAL;483;1;19;5;;
89;A;HHAL;483;2;16;4;;
89;A;HHAL;483;3;0;0;;
89;A;HHAL;483;4;0;0;;
89;A;HHAL;483;5;0;0;;
90;A;HHAL;484;1;17;15;;
90;A;HHAL;484;2;37;17;;
90;A;HHAL;484;3;22;9;;
90;A;HHAL;484;4;12;9;;
90;A;HHAL;484;5;11;5;;
91;A;HHAL;485;1;5;4;;
91;A;HHAL;485;2;3;1;;
91;A;HHAL;485;3;6;3;;
91;A;HHAL;485;4;0;0;;
91;A;HHAL;485;5;0;0;;
92;A;TMAS;566;1;72;1;;
92;A;TMAS;566;2;120;1;;
92;A;TMAS;566;3;118;2;;
92;A;TMAS;566;4;57;3;;
92;A;TMAS;566;5;156;0;;
93;A;TMAS;567;1;97;0;;
93;A;TMAS;567;2;59;0;;
93;A;TMAS;567;3;109;8;;
93;A;TMAS;567;4;86;3;;
93;A;TMAS;567;5;93;1;;
94;A;TMAS;568;1;76;0;;
94;A;TMAS;568;2;63;0;;
94;A;TMAS;568;3;44;0;;
94;A;TMAS;568;4;65;1;;
94;A;TMAS;568;5;72;0;;
95;A;TMAS;569;1;29;0;;
95;A;TMAS;569;2;76;0;;
95;A;TMAS;569;3;84;0;;
95;A;TMAS;569;4;102;0;;
95;A;TMAS;569;5;68;0;;
96;A;TMAS;570;1;50;0;;
96;A;TMAS;570;2;54;1;;
96;A;TMAS;570;3;66;1;;
96;A;TMAS;570;4;63;1;;
96;A;TMAS;570;5;78;0;;
97;A;TMAS;571;1;78;0;;
97;A;TMAS;571;2;67;0;;
97;A;TMAS;571;3;60;0;;
97;A;TMAS;571;4;97;0;;
97;A;TMAS;571;5;52;0;;
98;A;TMAS;572;1;62;1;;
98;A;TMAS;572;2;117;0;;
98;A;TMAS;572;3;87;0;;
98;A;TMAS;572;4;86;0;;
98;A;TMAS;572;5;111;0;;
99;A;TMAS;573;1;57;0;;
99;A;TMAS;573;2;53;0;;
99;A;TMAS;573;3;80;0;;
99;A;TMAS;573;4;77;4;;
99;A;TMAS;573;5;82;1;;
100;A;TMAS;574;1;96;0;;
100;A;TMAS;574;2;105;6;;
100;A;TMAS;574;3;93;2;;
100;A;TMAS;574;4;132;0;;
100;A;TMAS;574;5;99;5;;
101;A;TMAS;575;1;62;0;;
101;A;TMAS;575;2;48;0;;
101;A;TMAS;575;3;54;0;;
101;A;TMAS;575;4;60;2;;
101;A;TMAS;575;5;68;0;;
102;A;TMAS;572_1;1;34;11;;
102;A;TMAS;572_1;2;56;8;;
102;A;TMAS;572_1;3;40;9;;
102;A;TMAS;572_1;4;54;15;;
102;A;TMAS;572_1;5;66;13;;
103;B;ROFF;16;1;20;17;;
103;B;ROFF;16;2;14;13;;
103;B;ROFF;16;3;16;12;;
103;B;ROFF;16;4;14;13;;
103;B;ROFF;16;5;12;11;;
104;B;ROFF;17;1;14;13;;
104;B;ROFF;17;2;10;8;;
104;B;ROFF;17;3;18;16;;
104;B;ROFF;17;4;20;20;;
104;B;ROFF;17;5;18;17;;
105;B;ROFF;18;1;10;4;;
105;B;ROFF;18;2;10;9;;
105;B;ROFF;18;3;12;10;;
105;B;ROFF;18;4;12;11;;
105;B;ROFF;18;5;14;8;;
106;B;ROFF;19;1;10;10;;
106;B;ROFF;19;2;16;13;;
106;B;ROFF;19;3;10;8;;
106;B;ROFF;19;4;18;15;;
106;B;ROFF;19;5;18;16;;
107;B;ROFF;20;1;18;14;;
107;B;ROFF;20;2;10;8;;
107;B;ROFF;20;3;14;8;;
107;B;ROFF;20;4;14;7;;
107;B;ROFF;20;5;14;9;;
108;B;ROFF;21;1;16;11;;
108;B;ROFF;21;2;19;14;;
108;B;ROFF;21;3;10;7;;
108;B;ROFF;21;4;14;13;;
108;B;ROFF;21;5;14;12;;
109;B;ROFF;22;1;6;5;;
109;B;ROFF;22;2;12;3;;
109;B;ROFF;22;3;19;17;;
109;B;ROFF;22;4;16;13;;
109;B;ROFF;22;5;18;8;;
110;B;ROFF;23;1;12;6;;
110;B;ROFF;23;2;14;9;;
110;B;ROFF;23;3;8;7;;
110;B;ROFF;23;4;10;1;;
110;B;ROFF;23;5;10;10;;
111;B;ROFF;24;1;8;6;;
111;B;ROFF;24;2;12;11;;
111;B;ROFF;24;3;14;10;;
111;B;ROFF;24;4;10;8;;
111;B;ROFF;24;5;12;7;;
112;B;ROFF;25;1;16;11;;
112;B;ROFF;25;2;12;10;;
112;B;ROFF;25;3;8;7;;
112;B;ROFF;25;4;14;5;;
112;B;ROFF;25;5;12;2;;
113;B;ROFF;26;1;16;15;;
113;B;ROFF;26;2;16;11;;
113;B;ROFF;26;3;16;13;;
113;B;ROFF;26;4;12;6;;
113;B;ROFF;26;5;10;8;;
114;B;ROFF;27;1;12;10;;
114;B;ROFF;27;2;10;8;;
114;B;ROFF;27;3;12;9;;
114;B;ROFF;27;4;14;13;;
114;B;ROFF;27;5;10;8;;
115;B;ROFF;28;1;14;8;;
115;B;ROFF;28;2;10;10;;
115;B;ROFF;28;3;12;9;;
115;B;ROFF;28;4;14;7;;
115;B;ROFF;28;5;12;8;;
116;B;ROFF;29;1;14;9;;
116;B;ROFF;29;2;12;11;;
116;B;ROFF;29;3;10;9;;
116;B;ROFF;29;4;10;7;;
116;B;ROFF;29;5;16;15;;
117;B;ROFF;30;1;26;23;;
117;B;ROFF;30;2;6;6;;
117;B;ROFF;30;3;19;16;;
117;B;ROFF;30;4;18;17;;
117;B;ROFF;30;5;13;8;;
118;B;HCOM;121;1;9;1;;
118;B;HCOM;121;2;16;2;;
118;B;HCOM;121;3;29;2;;
118;B;HCOM;121;4;33;1;;
118;B;HCOM;121;5;17;3;;
119;B;HCOM;122;1;8;0;;
119;B;HCOM;122;2;14;4;;
119;B;HCOM;122;3;19;5;;
119;B;HCOM;122;4;14;3;;
119;B;HCOM;122;5;7;1;;
120;B;HCOM;123;1;17;4;;
120;B;HCOM;123;2;33;5;;
120;B;HCOM;123;3;25;7;;
120;B;HCOM;123;4;18;4;;
120;B;HCOM;123;5;17;3;;
121;B;HCOM;124;1;14;5;;
121;B;HCOM;124;2;9;3;;
121;B;HCOM;124;3;8;1;;
121;B;HCOM;124;4;6;2;;
121;B;HCOM;124;5;14;1;;
122;B;HCOM;125;1;19;4;;
122;B;HCOM;125;2;12;3;;
122;B;HCOM;125;3;18;7;;
122;B;HCOM;125;4;27;5;;
122;B;HCOM;125;5;16;6;;
123;B;HCOM;126;1;26;10;;
123;B;HCOM;126;2;23;9;;
123;B;HCOM;126;3;26;12;;
123;B;HCOM;126;4;35;13;;
123;B;HCOM;126;5;18;7;;
124;B;HCOM;127;1;7;4;;
124;B;HCOM;127;2;16;5;;
124;B;HCOM;127;3;11;3;;
124;B;HCOM;127;4;12;3;;
124;B;HCOM;127;5;7;2;;
125;B;HCOM;128;1;24;6;;
125;B;HCOM;128;2;20;7;;
125;B;HCOM;128;3;18;3;;
125;B;HCOM;128;4;19;3;;
125;B;HCOM;128;5;24;8;;
126;B;HCOM;129;1;11;4;;
126;B;HCOM;129;2;11;2;;
126;B;HCOM;129;3;10;1;;
126;B;HCOM;129;4;14;5;;
126;B;HCOM;129;5;12;1;;
127;B;HCOM;130;1;11;5;;
127;B;HCOM;130;2;10;2;;
127;B;HCOM;130;3;13;4;;
127;B;HCOM;130;4;14;3;;
127;B;HCOM;130;5;5;3;;
128;B;HCOM;131;1;13;0;;
128;B;HCOM;131;2;9;0;;
128;B;HCOM;131;3;10;1;;
128;B;HCOM;131;4;11;1;;
128;B;HCOM;131;5;8;1;;
129;B;HCOM;132;1;9;6;;
129;B;HCOM;132;2;17;5;;
129;B;HCOM;132;3;21;7;;
129;B;HCOM;132;4;12;6;;
129;B;HCOM;132;5;23;8;;
130;B;HCOM;133;1;13;0;;
130;B;HCOM;133;2;25;4;;
130;B;HCOM;133;3;20;4;;
130;B;HCOM;133;4;14;2;;
130;B;HCOM;133;5;11;2;;
131;B;HCOM;134;1;7;4;;
131;B;HCOM;134;2;5;2;;
131;B;HCOM;134;3;12;1;;
131;B;HCOM;134;4;10;1;;
131;B;HCOM;134;5;11;2;;
132;B;HCOM;135;1;15;6;;
132;B;HCOM;135;2;6;2;;
132;B;HCOM;135;3;8;2;;
